contract,seed,condition,model,coverage,failed_simulations,n,mae,rmse,r2,bias,zero_grain_outputs
GROUP,303,data_driven,local_scratch,1.0,0,93,0.8142279106268241,1.0022256224410326,0.39460209917011335,-0.22550636453718917,
GROUP,303,data_driven,supervised_transfer,1.0,0,93,1.0086282774812432,1.2238366623087948,0.09727218128050885,-0.22600142821445263,
GROUP,303,data_driven,validation_selected_weather_transfer,1.0,0,93,1.018830430871697,1.194320051665301,0.14029123341246252,-0.024685493274401588,
GROUP,303,sens_cultivar_janz,APSIM,1.0,0,93,1.0676593377577406,1.314788662157413,-0.041889852965040886,-0.044317662229599666,4.0
GROUP,303,sens_cultivar_mace,APSIM,1.0,0,93,1.0324972232139709,1.2950442393747101,-0.010832313091496903,0.06267168630502351,4.0
GROUP,303,sens_fertiliser_0,APSIM,1.0,0,93,1.424746246156108,1.7079133947082337,-0.7580919966397515,-1.2053453814861574,4.0
GROUP,303,sens_fertiliser_100,APSIM,1.0,0,93,1.1095915798323017,1.3759092160978874,-0.1410100429074721,0.19295943951633995,4.0
GROUP,303,sens_no3_100,APSIM,1.0,0,93,1.08951209656071,1.3349373595409477,-0.07406776444592356,0.05059613728133254,4.0
GROUP,303,sens_no3_25,APSIM,1.0,0,93,1.1608579088296749,1.4088784508239078,-0.1963464377009343,-0.6280497967729806,4.0
GROUP,303,sens_sowing_+14,APSIM,1.0,0,93,1.108706876171913,1.3518964185742555,-0.10153104788421419,-0.42302826684285316,5.0
GROUP,303,sens_sowing_-14,APSIM,1.0,0,93,1.0735554173404174,1.3103500615114942,-0.03486708631524893,-0.30127190317361263,3.0
GROUP,303,sens_water_0.25,APSIM,1.0,0,93,1.3134351423966817,1.5811496441322455,-0.5068008515920785,-1.0181046599998678,6.0
GROUP,303,sens_water_0.75,APSIM,1.0,0,93,1.0484076750906708,1.3169403224439336,-0.045302762489796145,0.3242163642591247,1.0
SPATIAL,101,available_central,APSIM,1.0,0,31,1.1425011720336904,1.388255190656459,-0.4941531525026004,-0.1407890081074019,4.0
SPATIAL,101,constrained_central,APSIM,1.0,0,31,1.0567838140125163,1.3010564484643419,-0.31234730168161096,-0.5763906223622425,3.0
SPATIAL,101,data_driven,local_scratch,1.0,0,31,1.204211076404923,1.5939518073461816,-0.9697308029675433,-0.17186048733438067,
SPATIAL,101,data_driven,supervised_transfer,1.0,0,31,0.989367300156624,1.1010757617878684,0.06007996147880268,-0.4271988555846676,
SPATIAL,101,data_driven,validation_selected_weather_transfer,1.0,0,31,1.1184263494553104,1.2757114639701972,-0.26171544689131077,-0.30926304811046973,
SPATIAL,101,sens_cultivar_janz,APSIM,1.0,0,31,1.051300636815014,1.302571649976031,-0.31540578311400447,-0.2535242641886621,3.0
SPATIAL,101,sens_cultivar_mace,APSIM,1.0,0,31,1.068724702914198,1.3122306849540386,-0.3349865233698588,-0.11663048118858305,3.0
SPATIAL,101,sens_fertiliser_0,APSIM,1.0,0,31,1.3725506620091745,1.622284260388018,-1.040376969234329,-1.2337440130933393,3.0
SPATIAL,101,sens_fertiliser_100,APSIM,1.0,0,31,1.0783107731829265,1.3340613355058974,-0.3797744490240058,-0.17221840445329506,3.0
SPATIAL,101,sens_no3_100,APSIM,1.0,0,31,1.0650051512038625,1.2969022312257812,-0.3039801441346177,-0.2812205925222997,3.0
