contract,method,seed,group,absolute_attribution,attribution_share
GROUP_complete,prediction_kd,101,water_balance,0.2654149215656055,0.18794283177822876
GROUP_complete,prediction_kd,202,observation_support,0.1784343372588383,0.16595342188855688
GROUP_complete,prediction_kd,202,radiation,0.41082883683114274,0.382092664057835
GROUP_complete,prediction_kd,202,temperature,0.2928678869872111,0.27238270813479004
GROUP_complete,prediction_kd,202,water_balance,0.1930762785982907,0.1795712059188181
GROUP_complete,prediction_kd,303,observation_support,0.08570483633347094,0.1242514622045769
GROUP_complete,prediction_kd,303,radiation,0.18066562738229508,0.2619218393348783
GROUP_complete,prediction_kd,303,temperature,0.31209308337620506,0.4524601365848959
GROUP_complete,prediction_kd,303,water_balance,0.11130569033044316,0.16136656187564888
GROUP_complete,representation_kd,101,observation_support,0.06091209184642588,0.10990981198000895
GROUP_complete,representation_kd,101,radiation,0.22598539860522807,0.40776817735221815
GROUP_complete,representation_kd,101,temperature,0.10282345018052354,0.18553468997535802
GROUP_complete,representation_kd,101,water_balance,0.16447973307568894,0.2967873206924149
GROUP_complete,representation_kd,202,observation_support,0.14733607246661962,0.1949056101531252
GROUP_complete,representation_kd,202,radiation,0.18915590152306397,0.2502275633061275
GROUP_complete,representation_kd,202,temperature,0.24710295218974349,0.3268836399727703
GROUP_complete,representation_kd,202,water_balance,0.17234058717427692,0.22798318656797692
GROUP_complete,representation_kd,303,observation_support,0.15770456141468442,0.3092643279354608
GROUP_complete,representation_kd,303,radiation,0.14205236272305566,0.2785698022625456
GROUP_complete,representation_kd,303,temperature,0.11081749005543605,0.21731709138945596
GROUP_complete,representation_kd,303,water_balance,0.0993601213139231,0.19484877841253767
GROUP_complete,supervised,101,observation_support,0.08190757281259228,0.13459949962737897
GROUP_complete,supervised,101,radiation,0.19857390729234886,0.3263184055247038
GROUP_complete,supervised,101,temperature,0.07662599241024155,0.12592022791919708
GROUP_complete,supervised,101,water_balance,0.25142059065996014,0.4131618669287201
GROUP_complete,supervised,202,observation_support,0.0822496563196182,0.19400475453196936
GROUP_complete,supervised,202,radiation,0.06058366660676569,0.14290052864195124
GROUP_complete,supervised,202,temperature,0.12668298537154557,0.2988109930195736
GROUP_complete,supervised,202,water_balance,0.15444060202647483,0.36428372380650575
GROUP_complete,supervised,303,observation_support,0.06619926959970517,0.08332326149292507
GROUP_complete,supervised,303,radiation,0.3638434940248087,0.4579601373013288
GROUP_complete,supervised,303,temperature,0.21636212207577238,0.27232925353853227
GROUP_complete,supervised,303,water_balance,0.14808237288267379,0.18638734766721382
SPATIAL_complete,combined_kd,101,observation_support,0.10618824367561647,0.17931252198429673
