contract,method,seed,perturbation_group,perm_rep,mean_abs_pred_change,mean_delta_AE
GROUP_complete,combined_kd,101,all_physical,60,0.779971016214249,0.5371281395770134
GROUP_complete,combined_kd,101,all_physical,61,0.7612515865488255,0.4867346954751522
GROUP_complete,combined_kd,101,all_physical,62,0.7238206838039641,0.4046727931042935
GROUP_complete,combined_kd,101,all_physical,63,0.796082189742555,0.4637482541875636
GROUP_complete,combined_kd,101,all_physical,64,0.6692064188896342,0.415300448255336
GROUP_complete,combined_kd,101,all_physical,65,0.6939379002185578,0.3884680632327466
GROUP_complete,combined_kd,101,all_physical,66,0.7962499806221496,0.481766858871947
GROUP_complete,combined_kd,101,all_physical,67,0.7392842972532232,0.44445810971361527
GROUP_complete,combined_kd,101,all_physical,68,0.8152023452393552,0.4994056739198401
GROUP_complete,combined_kd,101,all_physical,69,0.8123179192238665,0.4922971003917937
GROUP_complete,combined_kd,101,all_physical,70,0.8787171282666795,0.5076821233059498
GROUP_complete,combined_kd,101,all_physical,71,0.6816070485622325,0.3818835110360004
GROUP_complete,combined_kd,101,all_physical,72,0.9490678716213146,0.5708454043611567
GROUP_complete,combined_kd,101,all_physical,73,0.7874407387794332,0.5319557133329675
GROUP_complete,combined_kd,101,all_physical,74,0.7799162382775164,0.5658396413478446
GROUP_complete,combined_kd,101,all_physical,75,0.8013175396209068,0.5519389142381385
GROUP_complete,combined_kd,101,all_physical,76,0.9005370495167184,0.5801750783717379
GROUP_complete,combined_kd,101,all_physical,77,0.823115328524975,0.51046361131871
GROUP_complete,combined_kd,101,all_physical,78,0.7259365928933975,0.39845693748555283
GROUP_complete,combined_kd,101,all_physical,79,0.8495755195617676,0.5477202937755179
GROUP_complete,combined_kd,101,all_physical,80,0.8149044437611357,0.5472904924230373
GROUP_complete,combined_kd,101,all_physical,81,0.7163545679538807,0.432618958331169
GROUP_complete,combined_kd,101,all_physical,82,0.9524323864186064,0.5685646954191491
GROUP_complete,combined_kd,101,all_physical,83,0.7985466236763812,0.5216893843792855
GROUP_complete,combined_kd,101,all_physical,84,0.9493144319412556,0.6147456898790725
GROUP_complete,combined_kd,101,all_physical,85,0.7976847329038255,0.45152328781371415
GROUP_complete,combined_kd,101,all_physical,86,0.719077265008967,0.39095026537712585
GROUP_complete,combined_kd,101,all_physical,87,0.8942772226130709,0.6384738909132938
GROUP_complete,combined_kd,101,all_physical,88,0.7177592668127506,0.46139155588758757
GROUP_complete,combined_kd,101,all_physical,89,0.774800384298284,0.4821734140071463
GROUP_complete,combined_kd,101,all_physical,90,0.7130885555389079,0.4601385326182588
GROUP_complete,combined_kd,101,all_physical,91,0.7962808913372933,0.5468186406074687
GROUP_complete,combined_kd,101,all_physical,92,0.8282648020602287,0.586382757775327
GROUP_complete,combined_kd,101,all_physical,93,0.8631981940979653,0.5423314897253159
GROUP_complete,combined_kd,101,all_physical,94,0.8365266297725921,0.5831686204747951
GROUP_complete,combined_kd,101,all_physical,95,0.8865394186466298,0.606961348675667
GROUP_complete,combined_kd,101,all_physical,96,0.7458640666718178,0.44922333741695325
GROUP_complete,combined_kd,101,all_physical,97,0.7535384614416893,0.4306757441581564
GROUP_complete,combined_kd,101,all_physical,98,0.7209716071473792,0.4007557293303469
GROUP_complete,combined_kd,101,all_physical,99,0.744538555753992,0.45071299078109417
GROUP_complete,combined_kd,101,all_support,0,0.6370615832349087,0.4887686173662226
GROUP_complete,combined_kd,101,all_support,1,0.7156909526662624,0.3989009504521147
GROUP_complete,combined_kd,101,all_support,2,0.6676028662539543,0.5062692996288868
GROUP_complete,combined_kd,101,all_support,3,0.7424063631828796,0.4695112569687215
GROUP_complete,combined_kd,101,all_support,4,0.713780552782911,0.45824481787580124
GROUP_complete,combined_kd,101,all_support,5,0.8192385282922299,0.5043956668732014
GROUP_complete,combined_kd,101,all_support,6,0.7717915215390794,0.3693096338840241
GROUP_complete,combined_kd,101,all_support,7,0.6658804619565923,0.4007377499925329
GROUP_complete,combined_kd,101,all_support,8,0.7514735891463908,0.5096046032195395
GROUP_complete,combined_kd,101,all_support,9,0.7862063088315598,0.5115428302237328
GROUP_complete,combined_kd,101,all_support,10,0.7614035682475313,0.4998990677975593
GROUP_complete,combined_kd,101,all_support,11,0.7055750121461585,0.5272672900139017
GROUP_complete,combined_kd,101,all_support,12,0.772407831029689,0.5320886448393477
GROUP_complete,combined_kd,101,all_support,13,0.6205539120004532,0.34871184614871414
GROUP_complete,combined_kd,101,all_support,14,0.5962147864889591,0.3859203658814126
GROUP_complete,combined_kd,101,all_support,15,0.7350897433909964,0.48885669635204554
GROUP_complete,combined_kd,101,all_support,16,0.6808111261814198,0.4184923556713348
GROUP_complete,combined_kd,101,all_support,17,0.6884383876272973,0.4799955552892482
GROUP_complete,combined_kd,101,all_support,18,0.6926644888330014,0.46067393613368907
GROUP_complete,combined_kd,101,all_support,19,0.7548890215285281,0.4764518876583018
GROUP_complete,combined_kd,101,all_support,20,0.6577693959499927,0.4089800596845911
GROUP_complete,combined_kd,101,all_support,21,0.735402079338723,0.5085346624699045
GROUP_complete,combined_kd,101,all_support,22,0.6901667219527224,0.440072257102804
GROUP_complete,combined_kd,101,all_support,23,0.7023205173776504,0.42548288006478163
GROUP_complete,combined_kd,101,all_support,24,0.7064752629462708,0.4273139824157066
GROUP_complete,combined_kd,101,all_support,25,0.624178039266708,0.3606978115325279
GROUP_complete,combined_kd,101,all_support,26,0.679069201996986,0.4024787570263477
GROUP_complete,combined_kd,101,all_support,27,0.7039813386633041,0.37564439858781534
GROUP_complete,combined_kd,101,all_support,28,0.7319330915491632,0.3600665675629961
GROUP_complete,combined_kd,101,all_support,29,0.6843296111898219,0.46762486802770736
GROUP_complete,combined_kd,101,all_support,30,0.726482573975908,0.4192269323633072
GROUP_complete,combined_kd,101,all_support,31,0.8394859090764472,0.4538835483713353
GROUP_complete,combined_kd,101,all_support,32,0.7144763292150295,0.48444815402335306
GROUP_complete,combined_kd,101,all_support,33,0.715353676613341,0.39160070837304944
