contract,route,feature_name,mean_delta,median_delta,mean_abs_delta,std_delta,n
SPATIAL_complete,missing_aware,weather_vpd_mean,-0.027234550843375824,-0.06072451174259186,0.25108145611230487,0.303670146849164,93
SPATIAL_complete,prediction_kd,weather_coverage,0.0,0.0,0.0,0.0,93
SPATIAL_complete,prediction_kd,weather_cwb_sum,-0.01153249128205922,0.10026267264038324,0.2622377803857108,0.36902404994820637,93
SPATIAL_complete,prediction_kd,weather_et0_sum,-0.17367937793249205,-0.12563772965222597,0.5375927263928417,0.7019647275072782,93
SPATIAL_complete,prediction_kd,weather_expected_days,-0.043743696034966056,-0.019060740247368813,0.16232529904578202,0.23805933438710128,93
SPATIAL_complete,prediction_kd,weather_observed_days,-0.02909948430099194,-0.03478379943408072,0.15548492502796674,0.19385998635373647,93
SPATIAL_complete,prediction_kd,weather_prec_sum,0.008480388967831048,0.015722175128757954,0.08680464323454846,0.11272409807879563,93
SPATIAL_complete,prediction_kd,weather_rad_sum,-0.07718507885201885,-0.10464955912902951,0.31715906250681125,0.36438315774193186,93
SPATIAL_complete,prediction_kd,weather_tmax_mean,0.13093423206103785,0.15538052283227444,0.31997043949987497,0.3425533836362058,93
SPATIAL_complete,prediction_kd,weather_tmin_mean,-0.14640660566948754,-0.013384807854890823,0.29829487304944263,0.4093432154759428,93
SPATIAL_complete,prediction_kd,weather_vpd_mean,-0.013930488628165056,-0.01253480464220047,0.19434421601635155,0.260464937478296,93
SPATIAL_complete,representation_kd,weather_coverage,0.0,0.0,0.0,0.0,93
SPATIAL_complete,representation_kd,weather_cwb_sum,-0.014712861583878597,-0.04594205133616924,0.18597141797003405,0.225791718375661,93
SPATIAL_complete,representation_kd,weather_et0_sum,-0.13070657086728882,-0.20750318840146065,0.49224233547706275,0.5837626281957381,93
SPATIAL_complete,representation_kd,weather_expected_days,-0.024351324683295622,-0.07474176026880741,0.1612652523408053,0.21925234874968505,93
SPATIAL_complete,representation_kd,weather_observed_days,0.08906652020310522,0.1664995802566409,0.28640626113541345,0.4060982914574344,93
SPATIAL_complete,representation_kd,weather_prec_sum,0.0030530109095277006,-0.010996904224157333,0.06850204969035281,0.09400103288611905,93
SPATIAL_complete,representation_kd,weather_rad_sum,-0.2182240435760969,-0.11746611632406712,0.34553239671688685,0.4095132548480314,93
SPATIAL_complete,representation_kd,weather_tmax_mean,-0.12623721787640926,-0.07035720511339605,0.2513133164918331,0.30590157107930366,93
SPATIAL_complete,representation_kd,weather_tmin_mean,0.14876192486444387,0.20414455980062485,0.4250090626088442,0.5010940787890724,93
SPATIAL_complete,representation_kd,weather_vpd_mean,-0.10315769858738427,-0.12388157332316041,0.36721023946239423,0.4066650484837964,93
