contract,method,seed,perturbation_group,n_error_degraded,n_error_improved,n_unchanged,mean_delta_AE,median_delta_AE
SPATIAL_complete,prediction_kd,202,water_balance,19,12,0,0.18642575288588,0.10186767578125
SPATIAL_complete,prediction_kd,303,all_physical,19,12,0,0.18210282917945614,0.5390312824249266
SPATIAL_complete,prediction_kd,303,all_support,16,15,0,-0.027654450401183084,0.035305142402648926
SPATIAL_complete,prediction_kd,303,observation_support,16,15,0,-0.027654450401183084,0.035305142402648926
SPATIAL_complete,prediction_kd,303,radiation,17,14,0,0.07271630553276305,0.012593507766723633
SPATIAL_complete,prediction_kd,303,temperature,18,13,0,0.2241660879965751,0.11870026588439941
SPATIAL_complete,prediction_kd,303,water_balance,19,12,0,0.06834325591979486,0.2129521141052244
SPATIAL_complete,representation_kd,101,all_physical,19,12,0,0.12438127413103658,0.15161895751953125
SPATIAL_complete,representation_kd,101,all_support,14,17,0,-0.04032772750239216,-0.06382429599761963
SPATIAL_complete,representation_kd,101,observation_support,14,17,0,-0.04032772750239216,-0.06382429599761963
SPATIAL_complete,representation_kd,101,radiation,21,10,0,0.08816176845181373,0.0716557502746582
SPATIAL_complete,representation_kd,101,temperature,11,20,0,-0.08076940253473096,-0.07958686351776123
SPATIAL_complete,representation_kd,101,water_balance,15,16,0,-0.06890358051176994,-0.054097652435302734
SPATIAL_complete,representation_kd,202,all_physical,20,11,0,-0.06307348464381303,0.08571887016296387
SPATIAL_complete,representation_kd,202,all_support,21,10,0,0.09516793998595208,0.16646885871887207
SPATIAL_complete,representation_kd,202,observation_support,21,10,0,0.09516793998595208,0.16646885871887207
SPATIAL_complete,representation_kd,202,radiation,21,10,0,0.1418664443262162,0.19258375358581503
SPATIAL_complete,representation_kd,202,temperature,25,6,0,0.3499547649814237,0.21055003356933621
SPATIAL_complete,representation_kd,202,water_balance,17,14,0,-0.1644446171868231,0.014254095077514961
SPATIAL_complete,representation_kd,303,all_physical,22,9,0,0.5595259328657581,0.282604455947876
SPATIAL_complete,representation_kd,303,all_support,20,11,0,0.3781835626786755,0.39493698883056627
SPATIAL_complete,representation_kd,303,observation_support,20,11,0,0.3781835626786755,0.39493698883056627
SPATIAL_complete,representation_kd,303,radiation,17,14,0,0.08732525505558136,0.030898571014404297
SPATIAL_complete,representation_kd,303,temperature,22,9,0,1.1476676061076503,0.5997766647338869
SPATIAL_complete,representation_kd,303,water_balance,18,13,0,0.07355322702469363,0.047852306365967046
SPATIAL_complete,supervised,101,all_physical,18,13,0,0.08550009619805123,0.21869158744812012
SPATIAL_complete,supervised,101,all_support,13,18,0,-0.08896757448873209,-0.046929359436035156
SPATIAL_complete,supervised,101,observation_support,13,18,0,-0.08896757448873209,-0.046929359436035156
SPATIAL_complete,supervised,101,radiation,17,14,0,0.07862415710572274,0.1024019718170166
SPATIAL_complete,supervised,101,temperature,16,15,0,-0.008852185126273861,0.025252103805541992
SPATIAL_complete,supervised,101,water_balance,18,13,0,0.05059164247205181,0.25585412979125977
