contract,route,feature_name,feature_group,n_clusters,mean_signed_delta,median_signed_delta,mean_absolute_delta,ci_lo,ci_hi
SPATIAL_complete,combined_kd,weather_tmax_mean,temperature,31,-0.061639537279974774,-0.10271675760547316,0.14265024445335112,-0.09653159728197389,-0.023946728241524703
SPATIAL_complete,combined_kd,weather_tmin_mean,temperature,31,-0.047762519096635196,0.07253708977562691,0.26738608974502776,-0.13219617018075558,0.029307581419600874
SPATIAL_complete,combined_kd,weather_vpd_mean,water_balance,31,-0.08293195684084932,-0.16674697150786721,0.2726841260671556,-0.15119608710739033,-0.012210584183784332
SPATIAL_complete,missing_aware,weather_coverage,observation_support,31,0.0,0.0,0.0,0.0,0.0
SPATIAL_complete,missing_aware,weather_cwb_sum,water_balance,31,-0.058800703365235574,-0.0800466428821285,0.17039956579044938,-0.08741337510917375,-0.02776123485991092
SPATIAL_complete,missing_aware,weather_et0_sum,water_balance,31,0.03819137233339492,-0.032521778717636986,0.3891904505660697,-0.0665190324562812,0.1467555259987812
SPATIAL_complete,missing_aware,weather_expected_days,observation_support,31,0.009802591936883064,0.0830751402924457,0.17867527035395459,-0.048191988591971005,0.06221289395840376
SPATIAL_complete,missing_aware,weather_observed_days,observation_support,31,0.09484331365624661,0.0912024624024828,0.19109142484313613,0.07223519094698932,0.11706523991850837
SPATIAL_complete,missing_aware,weather_prec_sum,water_balance,31,-0.05208803417902159,-0.0182345760986209,0.10561304442804825,-0.08629157752316864,-0.019051989765151812
SPATIAL_complete,missing_aware,weather_rad_sum,radiation,31,0.04075298156283836,0.01688588907321294,0.25351954331266024,0.002438259696192385,0.0806461905698187
SPATIAL_complete,missing_aware,weather_tmax_mean,temperature,31,-0.04992430585922211,-0.055418275684739095,0.28093214025245283,-0.08051675613168426,-0.02014722818332242
SPATIAL_complete,missing_aware,weather_tmin_mean,temperature,31,0.05728940877021963,0.2495054479998847,0.4488831751013515,-0.12237335913414037,0.21833352453710006
SPATIAL_complete,missing_aware,weather_vpd_mean,water_balance,31,-0.027234550843375817,-0.07270963567619528,0.25108145611230487,-0.08649634540929728,0.03365397961730121
SPATIAL_complete,prediction_kd,weather_coverage,observation_support,31,0.0,0.0,0.0,0.0,0.0
SPATIAL_complete,prediction_kd,weather_cwb_sum,water_balance,31,-0.011532491282059236,0.0729268637175361,0.2622377803857107,-0.07582524985748453,0.050380952898425445
SPATIAL_complete,prediction_kd,weather_et0_sum,water_balance,31,-0.17367937793249205,-0.23672086761022607,0.5375927263928416,-0.27854906700142185,-0.0669920328923786
SPATIAL_complete,prediction_kd,weather_expected_days,observation_support,31,-0.04374369603496605,-0.06933712881679334,0.16232529904578197,-0.07515890273028954,-0.00990365285254881
SPATIAL_complete,prediction_kd,weather_observed_days,observation_support,31,-0.029099484300991955,-0.012868164417644387,0.1554849250279667,-0.057766094516089043,-0.00172519131616179
SPATIAL_complete,prediction_kd,weather_prec_sum,water_balance,31,0.008480388967831041,0.016008089218909564,0.08680464323454846,-0.006934334333017172,0.022976909304395735
SPATIAL_complete,prediction_kd,weather_rad_sum,radiation,31,-0.07718507885201885,-0.08174512217131756,0.31715906250681125,-0.11810308378271167,-0.03341394843695113
SPATIAL_complete,prediction_kd,weather_tmax_mean,temperature,31,0.13093423206103788,0.10236993657114613,0.3199704394998749,0.09692030825454402,0.16774238599714658
SPATIAL_complete,prediction_kd,weather_tmin_mean,temperature,31,-0.14640660566948757,-0.08421527749548356,0.29829487304944263,-0.2379568280766703,-0.05842634806164129
SPATIAL_complete,prediction_kd,weather_vpd_mean,water_balance,31,-0.01393048862816505,-0.01980693149380382,0.19434421601635152,-0.07615655091546114,0.052472999870717046
SPATIAL_complete,representation_kd,weather_coverage,observation_support,31,0.0,0.0,0.0,0.0,0.0
SPATIAL_complete,representation_kd,weather_cwb_sum,water_balance,31,-0.014712861583878583,0.0003573615103959297,0.18597141797003405,-0.04195423750294451,0.009883465491841112
SPATIAL_complete,representation_kd,weather_et0_sum,water_balance,31,-0.13070657086728876,-0.3574301968328655,0.4922423354770627,-0.2793537499749863,0.04179267703464146
SPATIAL_complete,representation_kd,weather_expected_days,observation_support,31,-0.024351324683295608,-0.03181095297137893,0.1612652523408053,-0.041055929761815546,-0.007258852495766803
SPATIAL_complete,representation_kd,weather_observed_days,observation_support,31,0.08906652020310522,0.1633774753039082,0.28640626113541345,0.02781129621610203,0.14606859205786382
SPATIAL_complete,representation_kd,weather_prec_sum,water_balance,31,0.003053010909527706,0.003305513877421599,0.06850204969035281,-0.013527205252020998,0.018417028755748216
SPATIAL_complete,representation_kd,weather_rad_sum,radiation,31,-0.2182240435760969,-0.2542500220394383,0.3455323967168869,-0.29557709224923934,-0.13815629918019343
SPATIAL_complete,representation_kd,weather_tmax_mean,temperature,31,-0.12623721787640924,-0.1509527143401404,0.251313316491833,-0.15614302649572043,-0.09492350566915676
SPATIAL_complete,representation_kd,weather_tmin_mean,temperature,31,0.14876192486444384,0.33009268281360465,0.42500906260884413,0.003379635036464824,0.2765303090705426
SPATIAL_complete,representation_kd,weather_vpd_mean,water_balance,31,-0.10315769858738429,-0.2087425153392056,0.36721023946239423,-0.17896780840569346,-0.018231140143833792
