contract,method,seed,perturbation_group,mean_abs_pred_change,mean_perturbation_l2_distance,standardized_sensitivity,dimension_normalized_sensitivity
GROUP_complete,representation_kd,303,all_support,0.2049335151590327,0.622478813305368,0.3292216711288609,0.0683111717196775
GROUP_complete,representation_kd,303,observation_support,0.2049335151590327,0.622478813305368,0.3292216711288609,0.0683111717196775
GROUP_complete,representation_kd,303,radiation,0.203988185492895,0.552067559703673,0.369498591081892,0.203988185492895
GROUP_complete,representation_kd,303,temperature,0.3075406064269363,0.7429407466547211,0.4139503827341573,0.1537703032134681
GROUP_complete,representation_kd,303,water_balance,0.2084938838917722,1.401039490182449,0.1488137096438819,0.052123470972943
GROUP_complete,supervised,101,all_physical,0.430006889586753,1.5834342477564214,0.2715659903123613,0.0614295556552504
GROUP_complete,supervised,101,all_support,0.2954567848367894,1.6317393784885237,0.1810686122622653,0.0984855949455964
GROUP_complete,supervised,101,observation_support,0.2954567848367894,1.6317393784885237,0.1810686122622653,0.0984855949455964
GROUP_complete,supervised,101,radiation,0.4841183525450686,0.7239055834057846,0.6687589702882948,0.4841183525450686
GROUP_complete,supervised,101,temperature,0.1755396267201038,0.6707671208985636,0.2616998079522564,0.0877698133600519
GROUP_complete,supervised,101,water_balance,0.4314034264138404,1.1630238840804317,0.3709325597853626,0.1078508566034601
GROUP_complete,supervised,202,all_physical,0.3108164611070052,2.4301079971407726,0.1279023242887061,0.044402351586715
GROUP_complete,supervised,202,all_support,0.5901353639105092,1.2621859298543618,0.4675502633578991,0.1967117879701697
GROUP_complete,supervised,202,observation_support,0.5901353639105092,1.2621859298543618,0.4675502633578991,0.1967117879701697
GROUP_complete,supervised,202,radiation,0.1114176335542098,0.7856338525079706,0.1418187788094806,0.1114176335542098
GROUP_complete,supervised,202,temperature,0.168181850599206,1.528375431380976,0.1100396192885238,0.084090925299603
